Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Geography code,Gender,Age,Socio-economic classification,Household income,Value,Value_type,Sample size,Standard error,Lower CI,Upper CI
Confidence in police - Crime Survey England and Wales,All,ONS 2011  5 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,75.31360796,%,33704,0.234868522,74.7611972,75.86601873
Confidence in police - Crime Survey England and Wales,White,ONS 2011  5 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,75.3726697,%,30046,0.248554875,74.78806863,75.95727077
Confidence in police - Crime Survey England and Wales,White British,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,74.81196306,%,27718,0.260736446,74.19871094,75.42521518
Confidence in police - Crime Survey England and Wales,White Irish,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,81.5998676,%,303,2.22604473,76.3642104,86.83552481
Confidence in police - Crime Survey England and Wales,Gypsy or Irish traveller,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,?,%,10,?,?,?
Confidence in police - Crime Survey England and Wales,White Other,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,80.97335824,%,2015,0.874409004,78.91674826,83.02996821
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,67.64913781,%,369,2.435347164,61.92120128,73.37707434
Confidence in police - Crime Survey England and Wales,Mixed White and Black Caribbean,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,58.08095666,%,122,4.467274575,47.57392686,68.58798646
Confidence in police - Crime Survey England and Wales,Mixed White and Black African,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,?,%,48,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed White and Asian,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,75.77343456,%,89,4.541605506,65.09157841,86.45529071
Confidence in police - Crime Survey England and Wales,Mixed Other,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,69.29761413,%,110,4.397935558,58.95366969,79.64155856
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,78.46870128,%,2046,0.90872093,76.33138965,80.6060129
Confidence in police - Crime Survey England and Wales,Indian,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,79.18585102,%,776,1.45737818,75.75809754,82.6136045
Confidence in police - Crime Survey England and Wales,Pakistani,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,72.68933118,%,505,1.982694561,68.02603358,77.35262879
Confidence in police - Crime Survey England and Wales,Bangladeshi,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,77.05884994,%,211,2.894527145,70.25092209,83.86677778
Confidence in police - Crime Survey England and Wales,Chinese,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,86.98001257,%,177,2.529463298,81.03071489,92.92931025
Confidence in police - Crime Survey England and Wales,Asian Other,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,83.40521862,%,377,1.916071473,78.89861852,87.91181873
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,69.6506458,%,913,1.521604949,66.07183096,73.22946064
Confidence in police - Crime Survey England and Wales,Black African,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,76.08084929,%,576,1.777457854,71.90026841,80.26143016
Confidence in police - Crime Survey England and Wales,Black Caribbean,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,56.00004141,%,277,2.982499801,48.98520188,63.01488095
Confidence in police - Crime Survey England and Wales,Black Other,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,61.21955899,%,60,6.290364982,46.42462055,76.01449742
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,77.33892453,%,278,2.510827779,71.43345759,83.24439147
Confidence in police - Crime Survey England and Wales,Arab,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,79.84040144,%,94,4.137979826,70.10787289,89.57292999
Confidence in police - Crime Survey England and Wales,Any Other,ONS 2011 18 + 1,2018/19,Year ending March,England and Wales,ONS geography code,K04000000,All,16+,All,All,75.85402229,%,184,3.155024918,68.43340368,83.2746409
Confidence in police - Crime Survey England and Wales,All,ONS 2011  5 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,78.37150337,%,34293,0.222325622,77.84859351,78.89441323
Confidence in police - Crime Survey England and Wales,White,ONS 2011  5 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,78.37604544,%,30658,0.235118782,77.82304606,78.92904481
Confidence in police - Crime Survey England and Wales,White British,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,77.91893889,%,28420,0.246047778,77.34023452,78.49764327
Confidence in police - Crime Survey England and Wales,White Irish,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,84.34949842,%,294,2.119003711,79.36560169,89.33339515
Confidence in police - Crime Survey England and Wales,Gypsy or Irish traveller,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,?,%,15,?,?,?
Confidence in police - Crime Survey England and Wales,White Other,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,83.07206235,%,1929,0.853814268,81.06389119,85.08023351
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,70.61149899,%,371,2.36504538,65.04891226,76.17408572
Confidence in police - Crime Survey England and Wales,Mixed White and Black Caribbean,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,67.26314793,%,120,4.283674166,57.18794629,77.33834956
Confidence in police - Crime Survey England and Wales,Mixed White and Black African,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,80.52026496,%,61,5.070831773,68.59366863,92.44686129
Confidence in police - Crime Survey England and Wales,Mixed White and Asian,ONS 2011 18 + 1,2017/18,Year ending March,England and Wales,ONS geography code,K04000001,All,16+,All,All,68.09777607,%,86,5.026060574,56.2764816,79.91907055
