Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Avon & Somerset,Police Force Area,"15,018","9,050","1,599,555",9.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Bedfordshire,Police Force Area,"4,768","4,279","615,061",7.75,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cambridgeshire,Police Force Area,"8,773","8,582","804,841",10.9,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cheshire,Police Force Area,"6,472","6,390","1,027,709",6.3,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cleveland,Police Force Area,"12,137","11,453","557,227",21.78,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cumbria,Police Force Area,"8,221","8,071","499,858",16.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Derbyshire,Police Force Area,"8,535","8,368","1,018,438",8.38,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Devon & Cornwall,Police Force Area,"26,176","24,411","1,668,218",15.69,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Dorset,Police Force Area,"6,653","6,543","744,041",8.94,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Durham,Police Force Area,"8,320","8,302","618,806",13.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Dyfed-Powys,Police Force Area,"8,430","8,384","515,114",16.37,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Essex,Police Force Area,"9,764","9,604","1,724,950",5.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Gloucestershire,Police Force Area,"4,890","4,837","596,984",8.19,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Greater Manchester,Police Force Area,"46,091","45,408","2,682,528",17.18,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Gwent,Police Force Area,"5,714","5,627","576,754",9.91,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Hampshire,Police Force Area,"23,691","23,137","1,897,991",12.48,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Hertfordshire,Police Force Area,"10,715","10,276","1,116,062",9.6,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Humberside,Police Force Area,"10,027","9,856","917,647",10.93,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Kent,Police Force Area,"14,186","13,888","1,727,665",8.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Lancashire,Police Force Area,"17,957","17,874","1,460,893",12.29,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Leicestershire,Police Force Area,"20,368","19,364","1,017,697",20.01,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Lincolnshire,Police Force Area,"8,696","8,609","713,653",12.19,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,"London, City of",Police Force Area,"7,882","6,912", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Merseyside,Police Force Area,"48,427","47,870","1,381,189",35.06,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Metropolitan Police,Police Force Area,"365,068","294,467","8,166,566",44.7,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Norfolk,Police Force Area,"8,509","8,298","857,888",9.92,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,North Wales,Police Force Area,"14,625","14,537","687,937",21.26,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,North Yorkshire,Police Force Area,"10,710","9,415","796,427",13.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Northamptonshire,Police Force Area,"13,607","13,176","691,952",19.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Northumbria,Police Force Area,"33,867","33,759","1,420,853",23.84,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Nottinghamshire,Police Force Area,"9,946","8,640","1,091,482",9.11,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,South Wales,Police Force Area,"18,318","18,023","1,283,651",14.27,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,South Yorkshire,Police Force Area,"20,034","19,042","1,343,601",14.91,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Staffordshire,Police Force Area,"19,272","19,146","1,097,497",17.56,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Suffolk,Police Force Area,"4,192","4,059","728,163",5.76,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Surrey,Police Force Area,"15,337","13,970","1,132,390",13.54,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Sussex,Police Force Area,"15,898","14,988","1,606,932",9.89,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Thames Valley,Police Force Area,"29,004","25,880","2,269,772",12.78,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Warwickshire,Police Force Area,"5,088","5,020","545,474",9.33,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,West Mercia,Police Force Area,"12,125","11,652","1,222,416",9.92,N/A,
